set_name,image_path,image_description
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Credit_51816.png,Credit
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Boundaries_51807.png,Boundaries
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Employee_51798.png,Employee
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Confidentiality_51819.png,Confidentiality
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Outreach_51814.png,Outreach
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Trust_51808.png,Trust
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Inclusion_51802.png,Inclusion
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Public_Benefits_51796.png,Public Benefits
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Study_Problems_51811.png,Study Problems
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Recruitment_51818.png,Recruitment
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Interview_51825.png,Interview
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Research_51801.png,Research
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Data_Analysis_51826.png,Data Analysis
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Compensation_51794.png,Compensation
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Impact_51829.png,Impact
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Presentation_51817.png,Presentation
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Eligibility_51821.png,Eligibility
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Responsibility_51809.png,Responsibility
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Contract_51797.png,Contract
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Ethics_51822.png,Ethics
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Data_Collection_51823.png,Data Collection
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Reflection_51831.png,Reflection
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Study_Design_51810.png,Study Design
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Accessibility_51803.png,Accessibility
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Study_Questions_51812.png,Study Questions
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Participatory_51799.png,Participatory
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Representation_51804.png,Representation
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Products_51815.png,Products
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Informed_Consent_51820.png,Informed Consent
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Collaboration_51806.png,Collaboration
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Findings_51827.png,Findings
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Outcomes_51828.png,Outcomes
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Brainstorming_51813.png,Brainstorming
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Action_51800.png,Action
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Survey_51824.png,Survey
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Evaluation_51830.png,Evaluation
Participatory_Action_Research,images/globalsymbols_data/Participatory_Action_Research/Communication_51805.png,Communication
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/mirisati_25040.png,mirisati
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/kečap_25395.png,kečap
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/sportski_rekviziti_25299.png,sportski rekviziti
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/vrata_26559.png,vrata
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/đed_24783.png,đed
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/ti_25075.png,ti
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/tanjir_25132.png,tanjir
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/televizor_25377.png,televizor
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/skočiti_24927.png,skočiti
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/nos_24803.png,nos
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/šampon_26586.png,šampon
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/mašina_za_pranje_sudova_26475.png,mašina za pranje sudova
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/vozač_25407.png,vozač
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/gaćice_26579.png,gaćice
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/zemlja_25134.png,zemlja
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/frizer_25381.png,frizer
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/šećer_25324.png,šećer
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/jezik_26482.png,jezik
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/balon_25062.png,balon
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/čokolada_25325.png,čokolada
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/stomak_24808.png,stomak
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/jaje_25171.png,jaje
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/voziti_25312.png,voziti
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/nož_25049.png,nož
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/oblik_srca_25066.png,oblik srca
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/brati_25402.png,brati
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/čitati_24921.png,čitati
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/lekar_24769.png,lekar
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/Šta_25272.png,Šta?
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/kolaž_papir_26583.png,kolaž papir
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/akva_park_26517.png,akva park
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/ruka_24813.png,ruka
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/more_25160.png,more
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/zelena_26464.png,zelena
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/sada_25169.png,sada
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/kuća_25140.png,kuća
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/robot_25295.png,robot
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/računaljka_26584.png,računaljka
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/sanke_24691.png,sanke
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/kratki_razgovori_25418.png,kratki razgovori
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/tužan_izgled_24778.png,tužan izgled
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/ljudi_24776.png,ljudi
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/uzeti_24929.png,uzeti
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/kuvar_25379.png,kuvar
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/D_26603.png,D
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/kroz_25384.png,kroz
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/sijalica_25024.png,sijalica
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/sok_24681.png,sok
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/predveče_24701.png,predveče
Crna_Gora_Montenegro,images/globalsymbols_data/Crna_Gora_Montenegro/E_26606.png,E
